A,B,C,D,E,F,G,H,J,K,L,M,N,O,P,Q,CLASS
100.0303077,100.0022294,8.806211752,3.899107002,43.90699575,38.02188628,0,0,0,0,0,0,0,0,0,0,0
99.97056672,99.86284069,8.757226277,3.679679937,44.10165576,38.14043904,0,0,0,0,0,0,0,0,0,0,0
99.97528681,99.95050978,8.92151886,3.839174336,44.03243903,38.01362526,0,0,0,0,0,0,0,0,0,0,0
99.76331793,99.89751225,8.76425898,3.818487194,44.02219485,37.8921927,0,0,0,0,0,0,0,0,0,0,0
100.2167107,99.84732944,8.931279522,3.840893189,44.01544837,37.97264608,0,0,0,0,0,0,0,0,0,0,0
100.1047712,100.0324266,8.947318938,3.785452722,43.96255557,37.90039316,0,0,0,0,0,0,0,0,0,0,0
100.0910975,100.0658065,8.631056193,3.918858584,43.94559928,37.82346647,0,0,0,0,0,0,0,0,0,0,0
99.96282555,100.1698005,8.929181815,3.646729953,43.91230305,37.97331875,0,0,0,0,0,0,0,0,0,0,0
100.0399511,99.91531609,8.689785093,3.821346956,43.9739191,37.99997547,0,0,0,0,0,0,0,0,0,0,0
100.0887152,100.0830182,8.963172827,3.723060845,43.93514125,38.03396472,0,0,0,0,0,0,0,0,0,0,0
100.1005418,100.0878089,8.917759881,3.603756348,43.97558628,38.08527384,0,0,0,0,0,0,0,0,0,0,0
100.1393162,99.8691008,8.859320283,3.737618772,44.07855225,37.97593488,0,0,0,0,0,0,0,0,0,0,0
100.0822569,100.0342282,9.010902278,3.80111923,43.96220005,37.92780789,0,0,0,0,0,0,0,0,0,0,0
99.95141031,99.96914695,8.776651726,3.864024436,44.09294971,37.97028217,0,0,0,0,0,0,0,0,0,0,0
100.129374,100.0619541,8.976841183,3.763111298,43.88902399,38.0516208,0,0,0,0,0,0,0,0,0,0,0
99.76884894,100.0662906,9.044645973,3.883191278,44.03912758,38.03409102,0,0,0,0,0,0,0,0,0,0,0
100.0700936,99.90762024,8.714464442,3.753551356,44.09064176,38.01376589,0,0,0,0,0,0,0,0,0,0,0
100.0246458,99.97088128,8.833384747,3.70154794,43.94816448,38.02506035,0,0,0,0,0,0,0,0,0,0,0
100.1690614,99.96053351,8.792479341,3.635280026,44.0571668,37.84395362,0,0,0,0,0,0,0,0,0,0,0
100.1405712,99.93326127,8.957653413,3.788940702,43.82574872,37.93517441,0,0,0,0,0,0,0,0,0,0,0
99.98660309,99.95777558,8.993333285,3.806778402,44.05561283,38.07600827,0,0,0,0,0,0,0,0,0,0,0
99.94422966,100.0992982,9.033219808,3.923927409,43.8670318,38.10377903,0,0,0,0,0,0,0,0,0,0,0
